index,dropoff_latitude,dropoff_longitude,dropoff_datetime
246432,40.75778579711913,-73.98194885253906,2016-01-14 08:00:23+00:00
246501,40.7607421875,-73.9739990234375,2016-01-14 08:00:05+00:00
246550,40.73899841308594,-73.97702026367188,2016-01-14 08:00:23+00:00
246826,40.75982284545898,-73.97433471679686,2016-01-14 08:00:22+00:00
255687,40.75577163696289,-73.9739990234375,2016-01-14 08:00:23+00:00
260546,40.76010513305664,-73.96180725097656,2016-01-14 08:00:16+00:00
262549,40.749610900878906,-73.9916458129883,2016-01-14 08:00:06+00:00
263263,40.76803207397461,-73.96788024902342,2016-01-14 08:00:18+00:00
263291,40.74567794799805,-73.98445129394531,2016-01-14 08:00:30+00:00
263315,40.78847885131836,-73.9531707763672,2016-01-14 08:00:17+00:00
264756,40.85055923461913,-73.93470764160156,2016-01-14 08:00:11+00:00
265088,40.75885391235352,-73.97291564941406,2016-01-14 08:00:25+00:00
265329,40.76190185546875,-73.95720672607422,2016-01-14 08:00:11+00:00
269320,40.755226135253906,-73.97550964355469,2016-01-14 08:00:19+00:00
276161,40.7900390625,-73.9479217529297,2016-01-14 08:00:26+00:00
279599,40.754661560058594,-74.00096130371094,2016-01-14 08:00:30+00:00
280795,40.75227355957031,-73.9798355102539,2016-01-14 08:00:08+00:00
284120,40.75205993652344,-73.99507904052734,2016-01-14 08:00:02+00:00
290948,40.76347351074219,-73.97428131103516,2016-01-14 08:00:00+00:00
294328,40.7673225402832,-73.98047637939453,2016-01-14 08:00:01+00:00
294631,40.7342185974121,-73.9889144897461,2016-01-14 08:00:01+00:00
305587,40.73640060424805,-73.99830627441406,2016-01-14 08:00:11+00:00
305768,40.75316619873047,-73.99788665771484,2016-01-14 08:00:08+00:00
306274,40.76379776000977,-73.96955108642578,2016-01-14 08:00:05+00:00
306981,40.77906036376953,-73.96025085449219,2016-01-14 08:00:08+00:00
312602,40.74504089355469,-73.98739624023438,2016-01-14 08:00:22+00:00
313061,40.76776885986328,-73.98165130615234,2016-01-14 08:00:09+00:00
317698,40.75675964355469,-73.97454071044923,2016-01-14 08:00:30+00:00
318157,40.73458862304688,-73.98629760742188,2016-01-14 08:00:30+00:00
319829,40.76143646240234,-73.99877166748048,2016-01-14 08:00:13+00:00
322906,40.747520446777344,-73.99685668945312,2016-01-14 08:00:04+00:00
323833,40.74512100219727,-73.9785614013672,2016-01-14 08:00:21+00:00
326750,40.756004333496094,-73.97352600097656,2016-01-14 08:00:24+00:00
327037,40.73197937011719,-73.98995208740234,2016-01-14 08:00:09+00:00
330026,40.763370513916016,-73.97161865234375,2016-01-14 08:00:10+00:00
336071,40.782241821289055,-73.95365142822266,2016-01-14 08:00:14+00:00
338599,40.755802154541016,-73.98357391357422,2016-01-14 08:00:12+00:00
342903,40.78010177612305,-73.9572982788086,2016-01-14 08:00:12+00:00
345547,40.80419921875,-73.9365692138672,2016-01-14 08:00:14+00:00
354882,40.76198196411133,-73.96919250488281,2016-01-14 08:00:09+00:00
355974,40.75993347167969,-73.97252655029298,2016-01-14 08:00:08+00:00
360644,40.75276184082031,-73.97518920898438,2016-01-14 08:00:03+00:00
361863,40.74987411499024,-73.9815673828125,2016-01-14 08:00:20+00:00
371934,40.76110458374024,-73.97139739990234,2016-01-14 08:00:17+00:00
373470,40.74951171875,-73.98371124267578,2016-01-14 08:00:15+00:00
377529,40.76131820678711,-73.99432373046875,2016-01-14 08:00:28+00:00
378916,40.72140884399415,-74.00985717773438,2016-01-14 08:00:03+00:00
379702,40.714759826660156,-74.01493072509766,2016-01-14 08:00:21+00:00
380441,40.74147415161133,-73.97522735595702,2016-01-14 08:00:24+00:00
381819,40.74885940551758,-74.00240325927734,2016-01-14 08:00:19+00:00
